Year,Smoothed Power Dissipation Index,Smoothed sea surface temperature
1949,,
1950,,
1951,2.7846,82.1066
1952,2.3445,82.21388
1953,2.2639,82.15412
1954,2.473,82.01354
1955,2.4041,81.9455
1956,2.1531,82.02902
1957,2.0011,82.09598
1958,2.0499,82.02362
1959,2.389,81.87494
1960,2.7669,81.8078
1961,2.8063,81.8978
1962,2.6079,81.9482
1963,2.4965,81.85316
1964,2.6412,81.75254
1965,2.7114,81.7466
1966,2.4241,81.77846
1967,2.1513,81.81104
1968,1.9995,81.87872
1969,1.91,81.91652
1970,1.8215,81.78728
1971,1.5311,81.55508
1972,1.3023,81.4136
1973,1.3258,81.37796
1974,1.5447,81.41198
1975,1.7044,81.51332
1976,1.5849,81.61736
1977,1.5081,81.68396
1978,1.9018,81.78962
1979,2.6182,81.97178
1980,2.8708,82.03964
1981,2.278,81.88304
1982,1.4246,81.6503
1983,1.139,81.50918
1984,1.3853,81.4901
1985,1.51,81.60332
1986,1.4708,81.84002
1987,1.8049,82.05314
1988,2.4896,82.17536
1989,2.757,82.16564
1990,2.3579,82.02452
1991,1.8318,81.82904
1992,1.5038,81.67334
1993,1.6579,81.734
1994,2.5317,81.95414
1995,3.469,82.17032
1996,3.7677,82.37804
1997,3.6987,82.553
1998,3.8579,82.6268
1999,4.0137,82.55858
2000,3.502,82.41872
2001,2.9404,82.41242
2002,3.4359,82.60628
2003,4.9011,82.86494
2004,6.0003,83.07068
2005,5.5528,83.06402
2006,4.1876,82.87646
2007,3.1377,82.71716
2008,2.8979,82.74092
2009,3.086,82.93082
2010,3.2155,83.06348
2011,3.0646,83.07806
2012,2.4496,83.00318
2013,1.8444,82.9085
2014,,
2015,,
